dataset_version,total_size_mb,avg_file_size_kb,avg_preprocessing_time_ms,avg_inference_time_ms,avg_end_to_end_time_ms,accuracy,precision,recall,f1_score,agreement_with_baseline_percent,avg_confidence_difference,changed_decision_count,size_reduction_percent,time_reduction_percent
original_baseline,8.270990371704102,33.47626142539526,3.5637549408564246,21.46632252942049,25.030077470276918,0.9762845849802372,0.9627329192546584,1.0,0.9810126582278481,100.0,0.0,0,0.0,0.0
light,5.715563774108887,23.225148034474206,31.244068255575026,21.805414684451303,53.04948294002633,0.9404761904761905,0.9112426035502958,1.0,0.9535603715170279,94.04761904761905,0.0598561816372066,15,30.89625888500111,-111.94294345681632
intermediate,3.913970947265625,15.904389880952381,30.54491864988074,22.019804364679167,52.56472301455991,0.9246031746031746,0.8994082840236687,0.987012987012987,0.9411764705882353,92.46031746031747,0.08231576264416429,19,52.67832784988219,-110.0062338080265
aggressive,2.2126922607421875,8.99125744047619,30.205262699353856,21.670339682757565,51.875602382111424,0.873015873015873,0.8388888888888889,0.9805194805194806,0.9041916167664671,86.5079365079365,0.12429676550377664,34,73.24755366283544,-107.25306361401965
