dataset_version,avg_preprocessing_time_ms,avg_inference_time_ms,avg_end_to_end_time_ms,preprocessing_time_ratio,inference_time_ratio,end_to_end_time_ratio,preprocessing_time_change_percent,inference_time_change_percent,end_to_end_time_change_percent
original_baseline,3.5637549408564246,21.46632252942049,25.030077470276918,1.0,1.0,1.0,0.0,0.0,0.0
light,31.244068255575026,21.805414684451303,53.04948294002633,8.767176411986005,1.0157964716390557,2.119429434568163,776.7176411986005,1.5796471639055651,111.94294345681632
intermediate,30.54491864988074,22.019804364679167,52.56472301455991,8.57099299946262,1.0257837286521763,2.100062338080265,757.099299946262,2.578372865217627,110.0062338080265
aggressive,30.205262699353856,21.670339682757565,51.875602382111424,8.475684552006562,1.009504057020361,2.0725306361401965,747.5684552006561,0.9504057020361039,107.25306361401965
